category_name,precision,recall,f1-score,support,accuracy
Advertising,0.6896551724137931,0.7407407407407407,0.7142857142857143,27.0,0.7407407407407407
Analytics,0.5833333333333334,0.6363636363636364,0.6086956521739131,22.0,0.6363636363636364
Application Development,0.75,0.5454545454545454,0.631578947368421,22.0,0.5454545454545454
Backend,0.8,0.5714285714285714,0.6666666666666666,21.0,0.5714285714285714
Banking,0.875,0.9545454545454546,0.9130434782608695,22.0,0.9545454545454546
Bitcoin,0.78125,1.0,0.8771929824561403,25.0,1.0
Chat,0.8695652173913043,1.0,0.9302325581395349,20.0,1.0
Cloud,0.6764705882352942,0.92,0.7796610169491526,25.0,0.92
Data,0.6428571428571429,0.72,0.6792452830188679,25.0,0.72
Database,0.782608695652174,0.72,0.7499999999999999,25.0,0.72
Domains,0.9047619047619048,0.95,0.9268292682926829,20.0,0.95
Education,0.782608695652174,0.72,0.7499999999999999,25.0,0.72
Email,0.78125,0.8928571428571429,0.8333333333333334,28.0,0.8928571428571429
Enterprise,0.375,0.3,0.33333333333333326,30.0,0.3
Entertainment,0.9473684210526315,0.9,0.9230769230769231,20.0,0.9
Events,0.8947368421052632,0.7727272727272727,0.8292682926829269,22.0,0.7727272727272727
File Sharing,0.7916666666666666,0.95,0.8636363636363635,20.0,0.95
Financial,0.7142857142857143,0.5,0.588235294117647,30.0,0.5
Games,0.9565217391304348,0.88,0.9166666666666666,25.0,0.88
Government,0.5121951219512195,0.7,0.5915492957746479,30.0,0.7
Images,0.7222222222222222,0.65,0.6842105263157895,20.0,0.65
Internet of Things,0.6785714285714286,0.8636363636363636,0.76,22.0,0.8636363636363636
Mapping,0.6,0.7,0.6461538461538462,30.0,0.7
Media,1.0,0.75,0.8571428571428571,20.0,0.75
Medical,0.95,0.8636363636363636,0.9047619047619048,22.0,0.8636363636363636
Messaging,0.6,0.9,0.7200000000000001,30.0,0.9
Music,0.8695652173913043,0.8,0.8333333333333333,25.0,0.8
News Services,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
Office,0.7,0.7,0.7,20.0,0.7
Other,1.0,1.0,1.0,22.0,1.0
Payments,0.7058823529411765,0.8,0.7500000000000001,30.0,0.8
Photos,0.6666666666666666,0.8,0.7272727272727272,25.0,0.8
Project Management,0.8571428571428571,0.96,0.9056603773584904,25.0,0.96
Real Estate,0.9444444444444444,0.85,0.8947368421052632,20.0,0.85
Reference,0.42857142857142855,0.21428571428571427,0.2857142857142857,28.0,0.21428571428571427
Science,0.75,0.8,0.7741935483870969,30.0,0.8
Search,0.6060606060606061,0.7142857142857143,0.6557377049180327,28.0,0.7142857142857143
Security,0.7333333333333333,0.5238095238095238,0.611111111111111,21.0,0.5238095238095238
Shipping,0.8695652173913043,0.9090909090909091,0.888888888888889,22.0,0.9090909090909091
Social,0.967741935483871,1.0,0.9836065573770492,30.0,1.0
Sports,0.8846153846153846,0.8214285714285714,0.8518518518518519,28.0,0.8214285714285714
Stocks,1.0,0.9090909090909091,0.9523809523809523,22.0,0.9090909090909091
Storage,0.9375,0.75,0.8333333333333334,20.0,0.75
Telephony,0.6153846153846154,0.5333333333333333,0.5714285714285715,30.0,0.5333333333333333
Tools,0.42857142857142855,0.3,0.3529411764705882,30.0,0.3
Transportation,0.8947368421052632,0.6071428571428571,0.7234042553191489,28.0,0.6071428571428571
Travel,0.7714285714285715,0.9642857142857143,0.8571428571428572,28.0,0.9642857142857143
Video,0.8076923076923077,0.75,0.7777777777777779,28.0,0.75
Weather,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
eCommerce,0.75,0.7,0.7241379310344827,30.0,0.7
accuracy,0.7600969305331179,0.7600969305331179,0.7600969305331179,0.7600969305331179,
macro avg,0.7751118804053835,0.7701628667628668,0.7656934760001834,1238.0,
weighted avg,0.7619863686688407,0.7600969305331179,0.7538603748105854,1238.0,
