category_name,precision,recall,f1-score,support,accuracy
Advertising,0.68,0.6296296296296297,0.6538461538461539,27.0,0.6296296296296297
Analytics,0.7,0.6363636363636364,0.6666666666666666,22.0,0.6363636363636364
Application Development,0.7857142857142857,0.5,0.6111111111111112,22.0,0.5
Backend,0.625,0.7142857142857143,0.6666666666666666,21.0,0.7142857142857143
Banking,0.84,0.9545454545454546,0.8936170212765958,22.0,0.9545454545454546
Bitcoin,0.8214285714285714,0.92,0.8679245283018867,25.0,0.92
Chat,0.9047619047619048,0.95,0.9268292682926829,20.0,0.95
Cloud,0.7333333333333333,0.88,0.8,25.0,0.88
Data,0.7727272727272727,0.68,0.7234042553191491,25.0,0.68
Database,0.6818181818181818,0.6,0.6382978723404256,25.0,0.6
Domains,1.0,0.95,0.9743589743589743,20.0,0.95
Education,0.7142857142857143,0.6,0.6521739130434783,25.0,0.6
Email,0.7058823529411765,0.8571428571428571,0.7741935483870968,28.0,0.8571428571428571
Enterprise,0.3870967741935484,0.4,0.39344262295081966,30.0,0.4
Entertainment,0.8,0.8,0.8000000000000002,20.0,0.8
Events,0.8947368421052632,0.7727272727272727,0.8292682926829269,22.0,0.7727272727272727
File Sharing,0.9047619047619048,0.95,0.9268292682926829,20.0,0.95
Financial,0.7083333333333334,0.5666666666666667,0.6296296296296297,30.0,0.5666666666666667
Games,0.9130434782608695,0.84,0.8749999999999999,25.0,0.84
Government,0.5675675675675675,0.7,0.626865671641791,30.0,0.7
Images,0.8421052631578947,0.8,0.8205128205128205,20.0,0.8
Internet of Things,0.9411764705882353,0.7272727272727273,0.8205128205128205,22.0,0.7272727272727273
Mapping,0.6363636363636364,0.7,0.6666666666666666,30.0,0.7
Media,0.8666666666666667,0.65,0.7428571428571429,20.0,0.65
Medical,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0,0.9090909090909091
Messaging,0.7647058823529411,0.8666666666666667,0.8125,30.0,0.8666666666666667
Music,0.8181818181818182,0.72,0.7659574468085107,25.0,0.72
News Services,0.95,0.95,0.9500000000000001,20.0,0.95
Office,0.8,0.6,0.6857142857142857,20.0,0.6
Other,1.0,1.0,1.0,22.0,1.0
Payments,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0,0.7333333333333333
Photos,0.5806451612903226,0.72,0.6428571428571428,25.0,0.72
Project Management,0.88,0.88,0.88,25.0,0.88
Real Estate,0.9411764705882353,0.8,0.8648648648648648,20.0,0.8
Reference,0.34782608695652173,0.2857142857142857,0.3137254901960784,28.0,0.2857142857142857
Science,0.696969696969697,0.7666666666666667,0.7301587301587302,30.0,0.7666666666666667
Search,0.5714285714285714,0.7142857142857143,0.634920634920635,28.0,0.7142857142857143
Security,0.7142857142857143,0.7142857142857143,0.7142857142857143,21.0,0.7142857142857143
Shipping,0.9444444444444444,0.7727272727272727,0.85,22.0,0.7727272727272727
Social,0.967741935483871,1.0,0.9836065573770492,30.0,1.0
Sports,0.8518518518518519,0.8214285714285714,0.8363636363636364,28.0,0.8214285714285714
Stocks,1.0,0.9090909090909091,0.9523809523809523,22.0,0.9090909090909091
Storage,0.5789473684210527,0.55,0.5641025641025641,20.0,0.55
Telephony,0.6470588235294118,0.7333333333333333,0.6875,30.0,0.7333333333333333
Tools,0.2702702702702703,0.3333333333333333,0.29850746268656714,30.0,0.3333333333333333
Transportation,0.84,0.75,0.7924528301886793,28.0,0.75
Travel,0.8125,0.9285714285714286,0.8666666666666666,28.0,0.9285714285714286
Video,0.8076923076923077,0.75,0.7777777777777779,28.0,0.75
Weather,1.0,1.0,1.0,20.0,1.0
eCommerce,0.5945945945945946,0.7333333333333333,0.6567164179104478,30.0,0.7333333333333333
accuracy,0.747172859450727,0.747172859450727,0.747172859450727,0.747172859450727,
macro avg,0.7700385949431237,0.7544099086099086,0.7581889137872915,1238.0,
weighted avg,0.7564678041911317,0.747172859450727,0.7478603471314517,1238.0,
