category_name,precision,recall,f1-score,support,accuracy
Advertising,0.7307692307692307,0.7037037037037037,0.7169811320754716,27.0,0.7037037037037037
Analytics,0.7,0.6363636363636364,0.6666666666666666,22.0,0.6363636363636364
Application Development,1.0,0.5909090909090909,0.7428571428571429,22.0,0.5909090909090909
Backend,0.875,0.6666666666666666,0.7567567567567567,21.0,0.6666666666666666
Banking,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0,0.9090909090909091
Bitcoin,0.7931034482758621,0.92,0.851851851851852,25.0,0.92
Chat,0.95,0.95,0.9500000000000001,20.0,0.95
Cloud,0.7096774193548387,0.88,0.7857142857142856,25.0,0.88
Data,0.8,0.64,0.7111111111111111,25.0,0.64
Database,0.6785714285714286,0.76,0.7169811320754718,25.0,0.76
Domains,0.95,0.95,0.9500000000000001,20.0,0.95
Education,0.9,0.72,0.7999999999999999,25.0,0.72
Email,0.8064516129032258,0.8928571428571429,0.8474576271186439,28.0,0.8928571428571429
Enterprise,0.5,0.6,0.5454545454545454,30.0,0.6
Entertainment,0.8823529411764706,0.75,0.8108108108108107,20.0,0.75
Events,0.9444444444444444,0.7727272727272727,0.85,22.0,0.7727272727272727
File Sharing,0.8571428571428571,0.9,0.8780487804878048,20.0,0.9
Financial,0.6896551724137931,0.6666666666666666,0.6779661016949153,30.0,0.6666666666666666
Games,1.0,0.84,0.9130434782608696,25.0,0.84
Government,0.5454545454545454,0.8,0.6486486486486486,30.0,0.8
Images,0.75,0.75,0.75,20.0,0.75
Internet of Things,0.7916666666666666,0.8636363636363636,0.8260869565217391,22.0,0.8636363636363636
Mapping,0.7272727272727273,0.8,0.761904761904762,30.0,0.8
Media,1.0,0.75,0.8571428571428571,20.0,0.75
Medical,0.9047619047619048,0.8636363636363636,0.8837209302325582,22.0,0.8636363636363636
Messaging,0.8484848484848485,0.9333333333333333,0.888888888888889,30.0,0.9333333333333333
Music,0.95,0.76,0.8444444444444444,25.0,0.76
News Services,0.9090909090909091,1.0,0.9523809523809523,20.0,1.0
Office,0.8666666666666667,0.65,0.7428571428571429,20.0,0.65
Other,1.0,1.0,1.0,22.0,1.0
Payments,0.7777777777777778,0.9333333333333333,0.8484848484848485,30.0,0.9333333333333333
Photos,0.7407407407407407,0.8,0.7692307692307692,25.0,0.8
Project Management,0.9583333333333334,0.92,0.9387755102040817,25.0,0.92
Real Estate,1.0,0.9,0.9473684210526316,20.0,0.9
Reference,0.38235294117647056,0.4642857142857143,0.41935483870967744,28.0,0.4642857142857143
Science,0.6923076923076923,0.9,0.7826086956521738,30.0,0.9
Search,0.625,0.7142857142857143,0.6666666666666666,28.0,0.7142857142857143
Security,0.8666666666666667,0.6190476190476191,0.7222222222222222,21.0,0.6190476190476191
Shipping,1.0,0.9545454545454546,0.9767441860465117,22.0,0.9545454545454546
Social,0.9375,1.0,0.967741935483871,30.0,1.0
Sports,0.92,0.8214285714285714,0.8679245283018867,28.0,0.8214285714285714
Stocks,1.0,0.9090909090909091,0.9523809523809523,22.0,0.9090909090909091
Storage,0.8125,0.65,0.7222222222222223,20.0,0.65
Telephony,0.7586206896551724,0.7333333333333333,0.7457627118644068,30.0,0.7333333333333333
Tools,0.5,0.4666666666666667,0.4827586206896552,30.0,0.4666666666666667
Transportation,0.8181818181818182,0.6428571428571429,0.7200000000000001,28.0,0.6428571428571429
Travel,0.896551724137931,0.9285714285714286,0.912280701754386,28.0,0.9285714285714286
Video,0.8333333333333334,0.8928571428571429,0.8620689655172413,28.0,0.8928571428571429
Weather,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
eCommerce,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0,0.8666666666666667
accuracy,0.7980613893376414,0.7980613893376414,0.7980613893376414,0.7980613893376414,
macro avg,0.8245956838022401,0.8007312169312171,0.8068494258605569,1238.0,
weighted avg,0.8122045950209337,0.7980613893376414,0.7994671434832835,1238.0,
