category_name,precision,recall,f1-score,support,accuracy
Advertising,0.7058823529411765,0.8888888888888888,0.7868852459016393,27.0,0.8888888888888888
Analytics,0.68,0.7727272727272727,0.7234042553191491,22.0,0.7727272727272727
Application Development,0.5555555555555556,0.45454545454545453,0.5,22.0,0.45454545454545453
Backend,0.6521739130434783,0.7142857142857143,0.6818181818181819,21.0,0.7142857142857143
Banking,0.8,0.9090909090909091,0.8510638297872342,22.0,0.9090909090909091
Bitcoin,0.7741935483870968,0.96,0.8571428571428571,25.0,0.96
Chat,1.0,1.0,1.0,20.0,1.0
Cloud,0.7307692307692307,0.76,0.7450980392156863,25.0,0.76
Data,0.7894736842105263,0.6,0.6818181818181819,25.0,0.6
Database,0.8125,0.52,0.6341463414634146,25.0,0.52
Domains,1.0,0.95,0.9743589743589743,20.0,0.95
Education,0.75,0.72,0.7346938775510204,25.0,0.72
Email,0.8571428571428571,0.8571428571428571,0.8571428571428571,28.0,0.8571428571428571
Enterprise,0.7272727272727273,0.5333333333333333,0.6153846153846153,30.0,0.5333333333333333
Entertainment,0.7916666666666666,0.95,0.8636363636363635,20.0,0.95
Events,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0,0.8181818181818182
File Sharing,0.9047619047619048,0.95,0.9268292682926829,20.0,0.95
Financial,0.7391304347826086,0.5666666666666667,0.6415094339622641,30.0,0.5666666666666667
Games,0.96,0.96,0.96,25.0,0.96
Government,0.5952380952380952,0.8333333333333334,0.6944444444444444,30.0,0.8333333333333334
Images,0.68,0.85,0.7555555555555556,20.0,0.85
Internet of Things,0.75,0.6818181818181818,0.7142857142857143,22.0,0.6818181818181818
Mapping,0.6666666666666666,0.8666666666666667,0.7536231884057971,30.0,0.8666666666666667
Media,0.9166666666666666,0.55,0.6874999999999999,20.0,0.55
Medical,0.7241379310344828,0.9545454545454546,0.823529411764706,22.0,0.9545454545454546
Messaging,0.84375,0.9,0.870967741935484,30.0,0.9
Music,0.9166666666666666,0.88,0.8979591836734694,25.0,0.88
News Services,1.0,1.0,1.0,20.0,1.0
Office,0.6842105263157895,0.65,0.6666666666666667,20.0,0.65
Other,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0,0.9545454545454546
Payments,0.8125,0.8666666666666667,0.8387096774193549,30.0,0.8666666666666667
Photos,0.875,0.84,0.8571428571428572,25.0,0.84
Project Management,0.8846153846153846,0.92,0.9019607843137256,25.0,0.92
Real Estate,1.0,0.95,0.9743589743589743,20.0,0.95
Reference,0.42857142857142855,0.21428571428571427,0.2857142857142857,28.0,0.21428571428571427
Science,0.7941176470588235,0.9,0.84375,30.0,0.9
Search,0.59375,0.6785714285714286,0.6333333333333334,28.0,0.6785714285714286
Security,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0,0.9523809523809523
Shipping,0.9166666666666666,1.0,0.9565217391304348,22.0,1.0
Social,1.0,1.0,1.0,30.0,1.0
Sports,0.9,0.9642857142857143,0.9310344827586207,28.0,0.9642857142857143
Stocks,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0,0.9545454545454546
Storage,0.6956521739130435,0.8,0.7441860465116279,20.0,0.8
Telephony,0.8214285714285714,0.7666666666666667,0.793103448275862,30.0,0.7666666666666667
Tools,0.5714285714285714,0.4,0.47058823529411764,30.0,0.4
Transportation,0.8695652173913043,0.7142857142857143,0.7843137254901961,28.0,0.7142857142857143
Travel,0.8484848484848485,1.0,0.9180327868852458,28.0,1.0
Video,0.8888888888888888,0.8571428571428571,0.8727272727272727,28.0,0.8571428571428571
Weather,1.0,1.0,1.0,20.0,1.0
eCommerce,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0,0.7333333333333333
accuracy,0.8037156704361874,0.8037156704361874,0.8037156704361874,0.8037156704361874,
macro avg,0.8091958670303693,0.8103587301587301,0.8036186963251258,1238.0,
weighted avg,0.8032259578213853,0.8037156704361874,0.7971454348771555,1238.0,
