category_name,precision,recall,f1-score,support,accuracy
Advertising,0.71875,0.8518518518518519,0.7796610169491525,27.0,0.8518518518518519
Analytics,0.8,0.7272727272727273,0.761904761904762,22.0,0.7272727272727273
Application Development,0.6470588235294118,0.5,0.5641025641025642,22.0,0.5
Backend,0.6875,0.5238095238095238,0.5945945945945946,21.0,0.5238095238095238
Banking,0.8,0.9090909090909091,0.8510638297872342,22.0,0.9090909090909091
Bitcoin,0.7666666666666667,0.92,0.8363636363636363,25.0,0.92
Chat,0.8333333333333334,1.0,0.9090909090909091,20.0,1.0
Cloud,0.6428571428571429,0.72,0.6792452830188679,25.0,0.72
Data,0.6956521739130435,0.64,0.6666666666666666,25.0,0.64
Database,0.6538461538461539,0.68,0.6666666666666666,25.0,0.68
Domains,1.0,1.0,1.0,20.0,1.0
Education,0.76,0.76,0.76,25.0,0.76
Email,0.92,0.8214285714285714,0.8679245283018867,28.0,0.8214285714285714
Enterprise,0.6129032258064516,0.6333333333333333,0.6229508196721313,30.0,0.6333333333333333
Entertainment,0.85,0.85,0.85,20.0,0.85
Events,0.95,0.8636363636363636,0.9047619047619048,22.0,0.8636363636363636
File Sharing,0.8571428571428571,0.9,0.8780487804878048,20.0,0.9
Financial,0.7916666666666666,0.6333333333333333,0.7037037037037038,30.0,0.6333333333333333
Games,1.0,0.96,0.9795918367346939,25.0,0.96
Government,0.5952380952380952,0.8333333333333334,0.6944444444444444,30.0,0.8333333333333334
Images,0.7407407407407407,1.0,0.851063829787234,20.0,1.0
Internet of Things,0.7368421052631579,0.6363636363636364,0.6829268292682926,22.0,0.6363636363636364
Mapping,0.7142857142857143,0.8333333333333334,0.7692307692307692,30.0,0.8333333333333334
Media,0.8666666666666667,0.65,0.7428571428571429,20.0,0.65
Medical,0.7692307692307693,0.9090909090909091,0.8333333333333333,22.0,0.9090909090909091
Messaging,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0,0.8666666666666667
Music,0.9565217391304348,0.88,0.9166666666666666,25.0,0.88
News Services,1.0,1.0,1.0,20.0,1.0
Office,0.7647058823529411,0.65,0.7027027027027027,20.0,0.65
Other,0.9130434782608695,0.9545454545454546,0.9333333333333332,22.0,0.9545454545454546
Payments,0.84375,0.9,0.870967741935484,30.0,0.9
Photos,0.8846153846153846,0.92,0.9019607843137256,25.0,0.92
Project Management,0.96,0.96,0.96,25.0,0.96
Real Estate,1.0,0.95,0.9743589743589743,20.0,0.95
Reference,0.3888888888888889,0.25,0.30434782608695654,28.0,0.25
Science,0.8285714285714286,0.9666666666666667,0.8923076923076922,30.0,0.9666666666666667
Search,0.75,0.6428571428571429,0.6923076923076924,28.0,0.6428571428571429
Security,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0,0.9523809523809523
Shipping,0.9166666666666666,1.0,0.9565217391304348,22.0,1.0
Social,1.0,1.0,1.0,30.0,1.0
Sports,0.9333333333333333,1.0,0.9655172413793104,28.0,1.0
Stocks,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0,0.9090909090909091
Storage,0.7368421052631579,0.7,0.717948717948718,20.0,0.7
Telephony,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0,0.7666666666666667
Tools,0.6666666666666666,0.4,0.5,30.0,0.4
Transportation,0.9130434782608695,0.75,0.8235294117647057,28.0,0.75
Travel,0.875,1.0,0.9333333333333333,28.0,1.0
Video,0.8461538461538461,0.7857142857142857,0.8148148148148148,28.0,0.7857142857142857
Weather,0.9523809523809523,1.0,0.975609756097561,20.0,1.0
eCommerce,0.7647058823529411,0.8666666666666667,0.8125,30.0,0.8666666666666667
accuracy,0.8117932148626817,0.8117932148626817,0.8117932148626817,0.8117932148626817,
macro avg,0.8154423814728626,0.8165426647426648,0.8115703415909935,1238.0,
weighted avg,0.8100843787460394,0.8117932148626817,0.8063743720512941,1238.0,
