category_name,precision,recall,f1-score,support,accuracy
Advertising,0.6428571428571429,0.6666666666666666,0.6545454545454545,27.0,0.6666666666666666
Analytics,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0,0.8181818181818182
Application Development,0.6875,0.5,0.5789473684210527,22.0,0.5
Backend,0.6666666666666666,0.7619047619047619,0.7111111111111111,21.0,0.7619047619047619
Banking,0.875,0.9545454545454546,0.9130434782608695,22.0,0.9545454545454546
Bitcoin,0.9230769230769231,0.96,0.9411764705882353,25.0,0.96
Chat,1.0,0.9,0.9473684210526316,20.0,0.9
Cloud,0.7,0.84,0.7636363636363636,25.0,0.84
Data,0.875,0.56,0.6829268292682927,25.0,0.56
Database,0.8181818181818182,0.72,0.7659574468085107,25.0,0.72
Domains,1.0,0.95,0.9743589743589743,20.0,0.95
Education,0.6296296296296297,0.68,0.6538461538461539,25.0,0.68
Email,0.8125,0.9285714285714286,0.8666666666666666,28.0,0.9285714285714286
Enterprise,0.4444444444444444,0.5333333333333333,0.4848484848484848,30.0,0.5333333333333333
Entertainment,0.8,0.8,0.8000000000000002,20.0,0.8
Events,0.9047619047619048,0.8636363636363636,0.8837209302325582,22.0,0.8636363636363636
File Sharing,0.8636363636363636,0.95,0.9047619047619048,20.0,0.95
Financial,0.6774193548387096,0.7,0.6885245901639343,30.0,0.7
Games,0.84,0.84,0.8399999999999999,25.0,0.84
Government,0.5714285714285714,0.6666666666666666,0.6153846153846153,30.0,0.6666666666666666
Images,0.6296296296296297,0.85,0.723404255319149,20.0,0.85
Internet of Things,0.7727272727272727,0.7727272727272727,0.7727272727272727,22.0,0.7727272727272727
Mapping,0.6774193548387096,0.7,0.6885245901639343,30.0,0.7
Media,0.8823529411764706,0.75,0.8108108108108107,20.0,0.75
Medical,0.8695652173913043,0.9090909090909091,0.888888888888889,22.0,0.9090909090909091
Messaging,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0,0.7333333333333333
Music,0.8260869565217391,0.76,0.7916666666666667,25.0,0.76
News Services,0.9090909090909091,1.0,0.9523809523809523,20.0,1.0
Office,0.7368421052631579,0.7,0.717948717948718,20.0,0.7
Other,1.0,0.9545454545454546,0.9767441860465117,22.0,0.9545454545454546
Payments,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0,0.8333333333333334
Photos,0.7307692307692307,0.76,0.7450980392156863,25.0,0.76
Project Management,0.92,0.92,0.92,25.0,0.92
Real Estate,1.0,0.8,0.888888888888889,20.0,0.8
Reference,0.2916666666666667,0.25,0.2692307692307692,28.0,0.25
Science,0.7352941176470589,0.8333333333333334,0.78125,30.0,0.8333333333333334
Search,0.45,0.6428571428571429,0.5294117647058824,28.0,0.6428571428571429
Security,0.75,0.5714285714285714,0.6486486486486486,21.0,0.5714285714285714
Shipping,0.875,0.9545454545454546,0.9130434782608695,22.0,0.9545454545454546
Social,0.967741935483871,1.0,0.9836065573770492,30.0,1.0
Sports,0.9166666666666666,0.7857142857142857,0.8461538461538461,28.0,0.7857142857142857
Stocks,1.0,0.9090909090909091,0.9523809523809523,22.0,0.9090909090909091
Storage,0.75,0.6,0.6666666666666665,20.0,0.6
Telephony,0.5882352941176471,0.6666666666666666,0.625,30.0,0.6666666666666666
Tools,0.3157894736842105,0.2,0.24489795918367346,30.0,0.2
Transportation,0.8,0.7142857142857143,0.7547169811320756,28.0,0.7142857142857143
Travel,0.8666666666666667,0.9285714285714286,0.896551724137931,28.0,0.9285714285714286
Video,0.8,0.7142857142857143,0.7547169811320756,28.0,0.7142857142857143
Weather,0.9090909090909091,1.0,0.9523809523809523,20.0,1.0
eCommerce,0.7096774193548387,0.7333333333333333,0.7213114754098361,30.0,0.7333333333333333
accuracy,0.7617124394184168,0.7617124394184168,0.7617124394184168,0.7617124394184168,
macro avg,0.7777721212499923,0.7708129870129871,0.7703408123025721,1238.0,
weighted avg,0.7659538619228263,0.7617124394184168,0.7599595756299379,1238.0,
